,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
10,2020-04-05,Franca,0,4,0,0,0,0,0,0,0,0,4
11,2020-04-06,Franca,0,4,0,0,0,0,0,0,0,0,4
12,2020-04-07,Franca,1,5,0,0,0,0,0,0,0,0,5
13,2020-04-08,Franca,0,5,0,0,0,0,0,0,0,0,5
14,2020-04-09,Franca,0,5,0,0,0,0,0,0,0,0,5
15,2020-04-10,Franca,1,6,0,0,0,0,0,0,1,1,5
16,2020-04-11,Franca,0,6,0,0,0,0,0,0,1,0,5
17,2020-04-12,Franca,0,6,0,0,0,0,0,0,1,0,5
18,2020-04-13,Franca,1,7,1,1,0,0,0,0,1,0,5
19,2020-04-14,Franca,0,7,0,1,0,0,0,0,2,1,4
20,2020-04-15,Franca,1,8,0,1,0,0,0,0,2,0,5
21,2020-04-16,Franca,0,8,0,1,0,0,0,0,3,1,4
22,2020-04-17,Franca,2,10,0,1,0,0,0,0,3,0,6
23,2020-04-18,Franca,0,10,0,1,0,0,0,0,4,1,5
24,2020-04-19,Franca,0,10,0,1,0,0,0,0,4,0,5
25,2020-04-20,Franca,0,10,0,1,0,0,0,0,4,0,5
26,2020-04-21,Franca,0,10,0,1,0,0,0,0,5,1,4
27,2020-04-22,Franca,0,10,0,1,0,0,0,0,5,0,4
28,2020-04-23,Franca,1,11,0,1,0,0,0,0,5,0,5
29,2020-04-24,Franca,1,12,0,1,0,0,0,0,6,1,5
30,2020-04-25,Franca,0,12,1,2,0,0,0,0,6,0,4
31,2020-04-26,Franca,0,12,0,2,0,0,0,0,6,0,4
32,2020-04-27,Franca,8,20,0,2,0,0,0,0,6,0,12
33,2020-04-28,Franca,9,29,0,2,0,0,0,0,6,0,21
34,2020-04-29,Franca,7,36,0,2,0,0,0,0,7,1,27
35,2020-04-30,Franca,2,38,0,2,0,0,0,0,7,0,29
36,2020-05-01,Franca,3,41,0,2,0,0,0,0,9,2,30
37,2020-05-02,Franca,1,42,0,2,0,0,0,0,9,0,31
38,2020-05-03,Franca,1,43,0,2,0,0,0,0,9,0,32
39,2020-05-04,Franca,2,45,0,2,0,0,0,0,9,0,34
40,2020-05-05,Franca,0,45,0,2,0,0,0,0,9,0,34
41,2020-05-06,Franca,5,50,0,2,0,0,0,0,9,0,39
42,2020-05-07,Franca,5,55,0,2,0,0,0,0,10,1,43
43,2020-05-08,Franca,4,59,0,2,0,0,0,0,11,1,46
44,2020-05-09,Franca,0,59,1,3,0,0,0,0,10,-1,46
45,2020-05-10,Franca,0,59,0,3,0,0,0,0,10,0,46
46,2020-05-11,Franca,3,62,0,3,0,0,0,0,18,8,41
47,2020-05-12,Franca,0,62,0,3,0,0,0,0,27,9,32
48,2020-05-13,Franca,8,70,0,3,0,0,0,0,34,7,33
49,2020-05-14,Franca,0,70,0,3,0,0,0,0,36,2,31
50,2020-05-15,Franca,2,72,0,3,0,0,0,0,39,3,30
51,2020-05-16,Franca,1,73,0,3,0,0,0,0,40,1,30
52,2020-05-17,Franca,1,74,0,3,0,0,0,0,41,1,30
53,2020-05-18,Franca,6,80,0,3,0,0,0,0,43,2,34
54,2020-05-19,Franca,0,80,0,3,0,0,0,0,43,0,34
55,2020-05-20,Franca,7,87,0,3,0,0,0,0,48,5,36
56,2020-05-21,Franca,0,87,0,3,0,0,0,0,53,5,31
57,2020-05-22,Franca,3,90,0,3,0,0,0,0,57,4,30
58,2020-05-23,Franca,3,93,0,3,0,0,0,0,56,-1,34
59,2020-05-24,Franca,1,94,0,3,0,0,0,0,56,0,35
60,2020-05-25,Franca,0,94,0,3,0,0,0,0,59,3,32
61,2020-05-26,Franca,5,99,0,3,0,0,0,0,59,0,37
62,2020-05-27,Franca,4,103,0,3,0,0,0,0,67,8,33
63,2020-05-28,Franca,9,112,0,3,0,0,0,0,67,0,42
64,2020-05-29,Franca,7,119,0,3,0,0,0,0,69,2,47
65,2020-05-30,Franca,5,124,0,3,0,0,0,0,70,1,51
66,2020-05-31,Franca,1,125,0,3,0,0,0,0,71,1,51
67,2020-06-01,Franca,7,132,0,3,0,0,0,0,77,6,52
68,2020-06-02,Franca,4,136,1,4,0,0,0,0,77,0,55
69,2020-06-03,Franca,3,139,0,4,0,0,0,0,84,7,51
70,2020-06-04,Franca,1,140,1,5,0,0,0,0,84,0,51
71,2020-06-05,Franca,1,141,0,5,0,0,0,0,87,3,49
72,2020-06-06,Franca,3,144,0,5,0,0,0,0,90,3,49
73,2020-06-07,Franca,0,144,0,5,0,0,0,0,91,1,48
74,2020-06-08,Franca,7,151,1,6,0,0,0,0,91,0,54
75,2020-06-09,Franca,0,151,0,6,0,0,0,0,96,5,49
76,2020-06-10,Franca,3,154,1,7,0,0,0,0,100,4,47
77,2020-06-11,Franca,0,154,0,7,0,0,0,0,109,9,38
78,2020-06-12,Franca,10,164,0,7,0,0,0,0,116,7,41
79,2020-06-13,Franca,0,164,0,7,0,0,0,0,121,5,36
80,2020-06-14,Franca,0,164,0,7,0,0,0,0,122,1,35
81,2020-06-15,Franca,13,177,0,7,0,0,0,0,129,7,41
82,2020-06-16,Franca,4,181,0,7,0,0,0,0,132,3,42
83,2020-06-17,Franca,0,181,0,7,0,0,0,0,135,3,39
84,2020-06-18,Franca,18,199,0,7,0,0,0,0,135,0,57
85,2020-06-19,Franca,22,221,0,7,0,0,0,0,136,1,78
86,2020-06-20,Franca,14,235,0,7,0,0,0,0,139,3,89
87,2020-06-21,Franca,5,240,0,7,0,0,0,0,139,0,94
88,2020-06-22,Franca,16,256,0,7,0,0,0,0,145,6,104
89,2020-06-23,Franca,9,265,0,7,0,0,0,0,145,0,113
90,2020-06-24,Franca,15,280,0,7,0,0,0,0,147,2,126
91,2020-06-25,Franca,19,299,1,8,0,0,0,0,147,0,144
92,2020-06-26,Franca,35,334,0,8,0,0,0,0,157,10,169
93,2020-06-27,Franca,13,347,0,8,0,0,0,0,157,0,182
94,2020-06-28,Franca,8,355,0,8,0,0,0,0,157,0,190
95,2020-06-29,Franca,8,363,0,8,0,0,0,0,170,13,185
96,2020-06-30,Franca,8,371,0,8,0,0,0,0,174,4,189
97,2020-07-01,Franca,17,388,1,9,0,0,0,0,174,0,205
98,2020-07-02,Franca,39,427,1,10,0,0,0,0,192,18,225
99,2020-07-03,Franca,31,458,0,10,0,0,0,0,214,22,234
100,2020-07-04,Franca,11,469,0,10,0,0,0,0,228,14,231
101,2020-07-05,Franca,13,482,2,12,0,0,0,0,233,5,237
102,2020-07-06,Franca,17,499,0,12,0,0,0,0,249,16,238
103,2020-07-07,Franca,18,517,0,12,0,0,0,0,258,9,247
104,2020-07-08,Franca,31,548,0,12,0,0,0,0,273,15,263
105,2020-07-09,Franca,8,556,0,12,0,0,0,0,291,18,253
106,2020-07-10,Franca,34,590,2,14,0,0,0,0,326,35,250
107,2020-07-11,Franca,8,598,0,14,0,0,0,0,339,13,245
