,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Grande SP Oeste,0,27,0,0,0,0,0,0,0,0,27
1,2020-03-27,Grande SP Oeste,1,28,0,0,0,0,0,0,0,0,28
2,2020-03-28,Grande SP Oeste,0,28,1,1,0,0,0,0,0,0,27
3,2020-03-29,Grande SP Oeste,5,33,0,1,0,0,0,0,0,0,32
4,2020-03-30,Grande SP Oeste,8,41,0,1,0,0,0,0,0,0,40
5,2020-03-31,Grande SP Oeste,20,73,2,5,0,0,0,0,0,0,68
6,2020-04-01,Grande SP Oeste,22,95,0,5,0,0,0,0,0,0,90
7,2020-04-02,Grande SP Oeste,9,104,0,5,0,0,0,0,0,0,99
8,2020-04-03,Grande SP Oeste,16,120,0,5,0,0,0,0,0,0,115
9,2020-04-04,Grande SP Oeste,2,122,2,7,0,0,0,0,0,0,115
10,2020-04-05,Grande SP Oeste,2,124,1,8,0,0,0,0,0,0,116
11,2020-04-06,Grande SP Oeste,21,145,3,11,0,0,0,0,0,0,134
12,2020-04-07,Grande SP Oeste,50,195,1,12,0,0,0,0,0,0,183
13,2020-04-08,Grande SP Oeste,37,232,1,13,0,0,0,0,0,0,219
14,2020-04-09,Grande SP Oeste,53,285,3,16,0,0,0,0,27,27,242
15,2020-04-10,Grande SP Oeste,5,290,0,16,0,0,0,0,28,1,246
16,2020-04-11,Grande SP Oeste,68,358,4,20,0,0,0,0,27,-1,311
17,2020-04-12,Grande SP Oeste,76,434,1,21,0,0,0,0,32,5,381
18,2020-04-13,Grande SP Oeste,38,472,7,28,0,0,0,0,40,8,404
19,2020-04-14,Grande SP Oeste,7,479,1,29,0,0,0,0,68,28,382
20,2020-04-15,Grande SP Oeste,221,700,4,33,0,0,0,0,90,22,577
21,2020-04-16,Grande SP Oeste,32,732,13,46,0,0,0,0,99,9,587
22,2020-04-17,Grande SP Oeste,15,747,2,48,0,0,0,0,115,16,584
23,2020-04-18,Grande SP Oeste,3,750,0,48,0,0,0,0,115,0,587
24,2020-04-19,Grande SP Oeste,88,838,9,57,0,0,0,0,116,1,665
25,2020-04-20,Grande SP Oeste,84,922,6,63,0,0,0,0,134,18,725
26,2020-04-21,Grande SP Oeste,113,1035,5,68,0,0,0,0,183,49,784
27,2020-04-22,Grande SP Oeste,70,1105,4,72,0,0,0,0,219,36,814
28,2020-04-23,Grande SP Oeste,38,1143,8,80,0,0,0,0,269,50,794
29,2020-04-24,Grande SP Oeste,174,1317,34,114,0,0,0,0,274,5,929
30,2020-04-25,Grande SP Oeste,72,1389,7,121,0,0,0,0,338,64,930
31,2020-04-26,Grande SP Oeste,48,1437,15,136,0,0,0,0,413,75,888
32,2020-04-27,Grande SP Oeste,53,1490,3,139,0,0,0,0,444,31,907
33,2020-04-28,Grande SP Oeste,403,1893,30,169,0,0,0,0,450,6,1274
34,2020-04-29,Grande SP Oeste,145,2038,6,175,0,0,0,0,667,217,1196
35,2020-04-30,Grande SP Oeste,85,2123,22,197,0,0,0,0,686,19,1240
36,2020-05-01,Grande SP Oeste,34,2157,8,205,0,0,0,0,699,13,1253
37,2020-05-02,Grande SP Oeste,46,2203,6,211,0,0,0,0,702,3,1290
38,2020-05-03,Grande SP Oeste,288,2491,11,222,0,0,0,0,781,79,1488
39,2020-05-04,Grande SP Oeste,62,2553,26,248,0,0,0,0,859,78,1446
40,2020-05-05,Grande SP Oeste,116,2669,11,259,0,0,0,0,967,108,1443
41,2020-05-06,Grande SP Oeste,35,2704,3,262,0,0,0,0,1033,66,1409
42,2020-05-07,Grande SP Oeste,189,2893,21,283,0,0,0,0,1063,30,1547
43,2020-05-08,Grande SP Oeste,336,3229,8,291,0,0,0,0,1203,140,1735
44,2020-05-09,Grande SP Oeste,132,3361,13,304,0,0,0,0,1268,65,1789
45,2020-05-10,Grande SP Oeste,138,3499,4,308,0,0,0,0,1301,33,1890
46,2020-05-11,Grande SP Oeste,224,3723,17,325,0,0,0,0,1351,50,2047
47,2020-05-12,Grande SP Oeste,69,3792,14,339,0,0,0,0,1724,373,1729
48,2020-05-13,Grande SP Oeste,334,4126,13,352,0,0,0,0,1863,139,1911
49,2020-05-14,Grande SP Oeste,52,4178,27,379,0,0,0,0,1926,63,1873
50,2020-05-15,Grande SP Oeste,228,4406,17,396,0,0,0,0,1952,26,2058
51,2020-05-16,Grande SP Oeste,55,4461,4,400,0,0,0,0,1992,40,2069
52,2020-05-17,Grande SP Oeste,225,4686,8,408,0,0,0,0,2269,277,2009
53,2020-05-18,Grande SP Oeste,116,4802,12,420,0,0,0,0,2305,36,2077
54,2020-05-19,Grande SP Oeste,217,5019,18,438,0,0,0,0,2410,105,2171
55,2020-05-20,Grande SP Oeste,160,5179,15,453,0,0,0,0,2442,32,2284
56,2020-05-21,Grande SP Oeste,297,5476,21,474,0,0,0,0,2610,168,2392
57,2020-05-22,Grande SP Oeste,154,5630,25,499,0,0,0,0,2938,328,2193
58,2020-05-23,Grande SP Oeste,37,5667,12,511,0,0,0,0,3057,119,2099
59,2020-05-24,Grande SP Oeste,174,5841,11,522,0,0,0,0,3191,134,2128
60,2020-05-25,Grande SP Oeste,52,5893,7,529,0,0,0,0,3398,207,1966
61,2020-05-26,Grande SP Oeste,422,6315,22,551,0,0,0,0,3453,55,2311
62,2020-05-27,Grande SP Oeste,166,6481,11,562,0,0,0,0,3774,321,2145
63,2020-05-28,Grande SP Oeste,177,6658,30,592,0,0,0,0,3799,25,2267
64,2020-05-29,Grande SP Oeste,210,6868,20,612,0,0,0,0,4010,211,2246
65,2020-05-30,Grande SP Oeste,77,6945,0,612,0,0,0,0,4061,51,2272
66,2020-05-31,Grande SP Oeste,83,7028,6,618,0,0,0,0,4278,217,2132
67,2020-06-01,Grande SP Oeste,251,7279,8,626,0,0,0,0,4382,104,2271
68,2020-06-02,Grande SP Oeste,249,7528,12,638,0,0,0,0,4581,199,2309
69,2020-06-03,Grande SP Oeste,49,7577,20,658,0,0,0,0,4726,145,2193
70,2020-06-04,Grande SP Oeste,328,7905,16,674,0,0,0,0,5002,276,2229
71,2020-06-05,Grande SP Oeste,167,8072,4,678,0,0,0,0,5131,129,2263
72,2020-06-06,Grande SP Oeste,123,8195,10,688,0,0,0,0,5156,25,2351
73,2020-06-07,Grande SP Oeste,129,8324,9,697,0,0,0,0,5319,163,2308
74,2020-06-08,Grande SP Oeste,244,8568,11,708,0,0,0,0,5364,45,2496
75,2020-06-09,Grande SP Oeste,557,9125,21,729,0,0,0,0,5764,400,2632
