,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
0,2020-03-26,Grande SP Norte,0,8,0,0,0,0,0,0,0,0,8
1,2020-03-27,Grande SP Norte,2,10,0,0,0,0,0,0,0,0,10
2,2020-03-28,Grande SP Norte,0,10,0,0,0,0,0,0,0,0,10
3,2020-03-29,Grande SP Norte,0,10,0,0,0,0,0,0,0,0,10
4,2020-03-30,Grande SP Norte,3,13,0,0,0,0,0,0,0,0,13
5,2020-03-31,Grande SP Norte,7,20,1,1,0,0,0,0,0,0,19
6,2020-04-01,Grande SP Norte,5,25,0,1,0,0,0,0,0,0,24
7,2020-04-02,Grande SP Norte,3,28,1,2,0,0,0,0,0,0,26
8,2020-04-03,Grande SP Norte,9,37,4,6,0,0,0,0,0,0,31
9,2020-04-04,Grande SP Norte,0,37,0,6,0,0,0,0,0,0,31
10,2020-04-05,Grande SP Norte,0,37,0,6,0,0,0,0,0,0,31
11,2020-04-06,Grande SP Norte,18,55,3,9,0,0,0,0,0,0,46
12,2020-04-07,Grande SP Norte,15,70,1,10,0,0,0,0,0,0,60
13,2020-04-08,Grande SP Norte,8,78,0,10,0,0,0,0,0,0,68
14,2020-04-09,Grande SP Norte,8,86,1,11,0,0,0,0,8,8,67
15,2020-04-10,Grande SP Norte,0,86,0,11,0,0,0,0,10,2,65
16,2020-04-11,Grande SP Norte,2,88,0,11,0,0,0,0,10,0,67
17,2020-04-12,Grande SP Norte,0,88,0,11,0,0,0,0,10,0,67
18,2020-04-13,Grande SP Norte,17,105,4,15,0,0,0,0,13,3,77
19,2020-04-14,Grande SP Norte,22,127,0,15,0,0,0,0,19,6,93
20,2020-04-15,Grande SP Norte,10,137,0,15,0,0,0,0,24,5,98
21,2020-04-16,Grande SP Norte,11,148,0,15,0,0,0,0,26,2,107
22,2020-04-17,Grande SP Norte,20,168,1,16,0,0,0,0,31,5,121
23,2020-04-18,Grande SP Norte,21,189,1,17,0,0,0,0,31,0,141
24,2020-04-19,Grande SP Norte,2,191,1,18,0,0,0,0,31,0,142
25,2020-04-20,Grande SP Norte,7,198,2,20,0,0,0,0,46,15,132
26,2020-04-21,Grande SP Norte,35,233,3,23,0,0,0,0,60,14,150
27,2020-04-22,Grande SP Norte,6,239,3,26,0,0,0,0,68,8,145
28,2020-04-23,Grande SP Norte,37,276,4,30,0,0,0,0,75,7,171
29,2020-04-24,Grande SP Norte,41,317,7,37,0,0,0,0,75,0,205
30,2020-04-25,Grande SP Norte,2,319,0,37,0,0,0,0,77,2,205
31,2020-04-26,Grande SP Norte,2,321,0,37,0,0,0,0,77,0,207
32,2020-04-27,Grande SP Norte,31,352,5,42,0,0,0,0,90,13,220
33,2020-04-28,Grande SP Norte,70,422,2,44,0,0,0,0,112,22,266
34,2020-04-29,Grande SP Norte,55,477,5,49,0,0,0,0,122,10,306
35,2020-04-30,Grande SP Norte,23,500,3,52,0,0,0,0,133,11,315
36,2020-05-01,Grande SP Norte,26,526,1,53,0,0,0,0,152,19,321
