,DATE,REGION,NEW_CASES,CUMULATIVE_CASES,NEW_DEATHS,CUMULATIVE_DEATHS,NEW_FIRST_DOSES,CUMULATIVE_FIRST_DOSES,NEW_SECOND_DOSES,CUMULATIVE_SECOND_DOSES,CUMULATIVE_RECOVERED,NEW_RECOVERED,ACTIVE_CASES
30,2020-04-25,Grande SP Sudeste,55,1309,7,104,0,0,0,0,1212,43,-7
31,2020-04-26,Grande SP Sudeste,71,1380,2,106,0,0,0,0,1276,64,-2
32,2020-04-27,Grande SP Sudeste,39,1419,15,121,0,0,0,0,1313,37,-15
33,2020-04-28,Grande SP Sudeste,140,1559,20,141,0,0,0,0,1438,125,-20
34,2020-04-29,Grande SP Sudeste,123,1682,19,160,0,0,0,0,1541,103,-19
35,2020-04-30,Grande SP Sudeste,86,1768,13,173,0,0,0,0,1608,67,-13
36,2020-05-01,Grande SP Sudeste,146,1914,4,177,0,0,0,0,1741,133,-4
37,2020-05-02,Grande SP Sudeste,52,1966,7,184,0,0,0,0,1789,48,-7
38,2020-05-03,Grande SP Sudeste,56,2022,3,187,0,0,0,0,1838,49,-3
39,2020-05-04,Grande SP Sudeste,157,2179,13,200,0,0,0,0,1992,154,-13
40,2020-05-05,Grande SP Sudeste,105,2284,13,213,0,0,0,0,2084,92,-13
41,2020-05-06,Grande SP Sudeste,67,2351,11,224,0,0,0,0,2138,54,-11
42,2020-05-07,Grande SP Sudeste,119,2470,14,238,0,0,0,0,2246,108,-14
43,2020-05-08,Grande SP Sudeste,143,2613,11,249,0,0,0,0,2375,129,-11
44,2020-05-09,Grande SP Sudeste,105,2718,6,255,0,0,0,0,2469,94,-6
45,2020-05-10,Grande SP Sudeste,70,2788,4,259,0,0,0,0,2533,64,-4
46,2020-05-11,Grande SP Sudeste,149,2937,16,275,0,0,0,0,2678,145,-16
47,2020-05-12,Grande SP Sudeste,116,3053,12,287,0,0,0,0,2778,100,-12
48,2020-05-13,Grande SP Sudeste,149,3202,19,306,0,0,0,0,2915,137,-19
49,2020-05-14,Grande SP Sudeste,105,3307,15,321,0,0,0,0,3001,86,-15
50,2020-05-15,Grande SP Sudeste,143,3450,28,349,0,0,0,0,3129,128,-28
51,2020-05-16,Grande SP Sudeste,145,3595,14,363,0,0,0,0,3246,117,-14
52,2020-05-17,Grande SP Sudeste,83,3678,14,377,0,0,0,0,3315,69,-14
53,2020-05-18,Grande SP Sudeste,270,3948,9,386,0,0,0,0,3571,256,-9
54,2020-05-19,Grande SP Sudeste,200,4148,19,405,0,0,0,0,3762,191,-19
55,2020-05-20,Grande SP Sudeste,203,4351,15,420,0,0,0,0,3946,184,-15
56,2020-05-21,Grande SP Sudeste,249,4600,27,447,0,0,0,0,4180,234,-27
57,2020-05-22,Grande SP Sudeste,180,4780,12,459,0,0,0,0,4333,153,-12
58,2020-05-23,Grande SP Sudeste,259,5039,12,471,0,0,0,0,4580,247,-12
59,2020-05-24,Grande SP Sudeste,134,5173,8,479,0,0,0,0,4702,122,-8
60,2020-05-25,Grande SP Sudeste,154,5327,9,488,0,0,0,0,4848,146,-9
61,2020-05-26,Grande SP Sudeste,439,5766,19,507,0,0,0,0,5278,430,-19
62,2020-05-27,Grande SP Sudeste,303,6069,16,523,0,0,0,0,5562,284,-16
63,2020-05-28,Grande SP Sudeste,337,6406,28,551,0,0,0,0,5883,321,-28
64,2020-05-29,Grande SP Sudeste,535,6941,21,572,0,0,0,0,6390,507,-21
65,2020-05-30,Grande SP Sudeste,449,7390,15,587,0,0,0,0,6818,428,-15
66,2020-05-31,Grande SP Sudeste,133,7523,7,594,0,0,0,0,6936,118,-7
67,2020-06-01,Grande SP Sudeste,295,7818,24,618,0,0,0,0,7224,288,-24
68,2020-06-02,Grande SP Sudeste,404,8222,14,632,0,0,0,0,7604,380,-14
69,2020-06-03,Grande SP Sudeste,501,8723,27,659,0,0,0,0,8091,487,-27
70,2020-06-04,Grande SP Sudeste,312,9035,32,691,0,0,0,0,8376,285,-32
71,2020-06-05,Grande SP Sudeste,269,9304,23,714,0,0,0,0,8613,237,-23
72,2020-06-06,Grande SP Sudeste,248,9552,15,729,0,0,0,0,8838,225,-15
73,2020-06-07,Grande SP Sudeste,144,9696,5,734,0,0,0,0,8967,129,-5
74,2020-06-08,Grande SP Sudeste,283,9979,20,754,0,0,0,0,9245,278,-20
75,2020-06-09,Grande SP Sudeste,303,10282,12,766,0,0,0,0,9528,283,-12
76,2020-06-10,Grande SP Sudeste,330,10612,13,779,0,0,0,0,9846,318,-13
77,2020-06-11,Grande SP Sudeste,400,11012,11,790,0,0,0,0,10233,387,-11
78,2020-06-12,Grande SP Sudeste,269,11281,9,799,0,0,0,0,10491,258,-9
79,2020-06-13,Grande SP Sudeste,346,11627,15,814,0,0,0,0,10828,337,-15
80,2020-06-14,Grande SP Sudeste,273,11900,11,825,0,0,0,0,11086,258,-11
81,2020-06-15,Grande SP Sudeste,467,12367,18,843,0,0,0,0,11542,456,-18
82,2020-06-16,Grande SP Sudeste,292,12659,17,860,0,0,0,0,11816,274,-17
83,2020-06-17,Grande SP Sudeste,237,12896,21,881,0,0,0,0,12036,220,-21
84,2020-06-18,Grande SP Sudeste,391,13287,23,904,0,0,0,0,12406,370,-23
85,2020-06-19,Grande SP Sudeste,375,13662,27,931,0,0,0,0,12758,352,-27
86,2020-06-20,Grande SP Sudeste,706,14368,14,945,0,0,0,0,13437,679,-14
87,2020-06-21,Grande SP Sudeste,128,14496,8,953,0,0,0,0,13551,114,-8
88,2020-06-22,Grande SP Sudeste,288,14784,12,965,0,0,0,0,13831,280,-12
89,2020-06-23,Grande SP Sudeste,2789,17573,24,989,0,0,0,0,16608,2777,-24
90,2020-06-24,Grande SP Sudeste,730,18303,16,1005,0,0,0,0,17314,706,-16
91,2020-06-25,Grande SP Sudeste,711,19014,30,1035,0,0,0,0,18009,695,-30
92,2020-06-26,Grande SP Sudeste,891,19905,21,1056,0,0,0,0,18870,861,-21
93,2020-06-27,Grande SP Sudeste,287,20192,12,1068,0,0,0,0,19136,266,-12
94,2020-06-28,Grande SP Sudeste,263,20455,10,1078,0,0,0,0,19387,251,-10
95,2020-06-29,Grande SP Sudeste,738,21193,20,1098,0,0,0,0,20115,728,-20
96,2020-06-30,Grande SP Sudeste,819,22012,26,1124,0,0,0,0,20914,799,-26
97,2020-07-01,Grande SP Sudeste,701,22713,20,1144,0,0,0,0,21589,675,-20
98,2020-07-02,Grande SP Sudeste,705,23418,17,1161,0,0,0,0,22274,685,-17
99,2020-07-03,Grande SP Sudeste,784,24202,21,1182,0,0,0,0,23041,767,-21
100,2020-07-04,Grande SP Sudeste,1560,25762,20,1202,0,0,0,0,24580,1539,-20
101,2020-07-05,Grande SP Sudeste,796,26558,11,1213,0,0,0,0,25356,776,-11
102,2020-07-06,Grande SP Sudeste,304,26376,31,1244,0,0,0,0,25163,-193,-31
103,2020-07-07,Grande SP Sudeste,874,27166,17,1261,0,0,0,0,25922,759,-17
104,2020-07-08,Grande SP Sudeste,800,27966,22,1283,0,0,0,0,26705,783,-22
105,2020-07-09,Grande SP Sudeste,381,28347,19,1302,0,0,0,0,27064,359,-19
106,2020-07-10,Grande SP Sudeste,435,28782,15,1317,0,0,0,0,27480,416,-15
107,2020-07-11,Grande SP Sudeste,210,28992,10,1327,0,0,0,0,27675,195,-10
108,2020-07-12,Grande SP Sudeste,208,29200,17,1344,0,0,0,0,27873,198,-17
109,2020-07-13,Grande SP Sudeste,501,29701,27,1371,0,0,0,0,28357,484,-27
110,2020-07-14,Grande SP Sudeste,447,30148,31,1402,0,0,0,0,28777,420,-31
111,2020-07-15,Grande SP Sudeste,418,30566,28,1430,0,0,0,0,29164,387,-28
112,2020-07-16,Grande SP Sudeste,227,30793,23,1453,0,0,0,0,29363,199,-23
113,2020-07-17,Grande SP Sudeste,613,31406,17,1470,0,0,0,0,29953,590,-17
114,2020-07-18,Grande SP Sudeste,256,31662,13,1483,0,0,0,0,30192,239,-13
115,2020-07-19,Grande SP Sudeste,183,31845,8,1491,0,0,0,0,30362,170,-8
116,2020-07-20,Grande SP Sudeste,282,32127,30,1521,0,0,0,0,30636,274,-30
117,2020-07-21,Grande SP Sudeste,220,32347,28,1549,0,0,0,0,30826,190,-28
118,2020-07-22,Grande SP Sudeste,2656,35003,24,1573,0,0,0,0,33454,2628,-24
119,2020-07-23,Grande SP Sudeste,571,35574,30,1603,0,0,0,0,34001,547,-30
120,2020-07-24,Grande SP Sudeste,1192,36766,17,1620,0,0,0,0,35163,1162,-17
121,2020-07-25,Grande SP Sudeste,123,36889,14,1634,0,0,0,0,35269,106,-14
122,2020-07-26,Grande SP Sudeste,58,35154,12,1646,0,0,0,0,33520,-1749,-12
123,2020-07-27,Grande SP Sudeste,2649,37803,16,1662,0,0,0,0,36157,2637,-16
124,2020-07-28,Grande SP Sudeste,642,38445,9,1671,0,0,0,0,36783,626,-9
125,2020-07-29,Grande SP Sudeste,841,39286,21,1692,0,0,0,0,37615,832,-21
126,2020-07-30,Grande SP Sudeste,782,40068,8,1700,0,0,0,0,38376,761,-8
127,2020-07-31,Grande SP Sudeste,1019,41087,16,1716,0,0,0,0,39387,1011,-16
128,2020-08-01,Grande SP Sudeste,748,41835,4,1720,0,0,0,0,40119,732,-4
129,2020-08-02,Grande SP Sudeste,439,42274,6,1726,0,0,0,0,40554,435,-6
130,2020-08-03,Grande SP Sudeste,298,42572,18,1744,0,0,0,0,40846,292,-18
131,2020-08-04,Grande SP Sudeste,461,43033,12,1756,0,0,0,0,41289,443,-12
132,2020-08-05,Grande SP Sudeste,763,43796,21,1777,0,0,0,0,42040,751,-21
133,2020-08-06,Grande SP Sudeste,605,44401,17,1794,0,0,0,0,42624,584,-17
134,2020-08-07,Grande SP Sudeste,500,44901,16,1810,0,0,0,0,43107,483,-16
135,2020-08-08,Grande SP Sudeste,365,45266,10,1820,0,0,0,0,43456,349,-10
136,2020-08-09,Grande SP Sudeste,224,45490,8,1828,0,0,0,0,43670,214,-8
137,2020-08-10,Grande SP Sudeste,470,45960,16,1844,0,0,0,0,44132,462,-16
138,2020-08-11,Grande SP Sudeste,564,46524,16,1860,0,0,0,0,44680,548,-16
139,2020-08-12,Grande SP Sudeste,878,47402,15,1875,0,0,0,0,45542,862,-15
140,2020-08-13,Grande SP Sudeste,653,48055,24,1899,0,0,0,0,46180,638,-24
141,2020-08-14,Grande SP Sudeste,392,48447,15,1914,0,0,0,0,46548,368,-15
142,2020-08-15,Grande SP Sudeste,418,48865,19,1933,0,0,0,0,46951,403,-19
143,2020-08-16,Grande SP Sudeste,234,49099,10,1943,0,0,0,0,47166,215,-10
144,2020-08-17,Grande SP Sudeste,288,49387,10,1953,0,0,0,0,47444,278,-10
145,2020-08-18,Grande SP Sudeste,710,50097,13,1966,0,0,0,0,48144,700,-13
146,2020-08-19,Grande SP Sudeste,291,50388,11,1977,0,0,0,0,48422,278,-11
147,2020-08-20,Grande SP Sudeste,667,51055,28,2005,0,0,0,0,49078,656,-28
148,2020-08-21,Grande SP Sudeste,455,51510,15,2020,0,0,0,0,49505,427,-15
149,2020-08-22,Grande SP Sudeste,297,51807,8,2028,0,0,0,0,49787,282,-8
150,2020-08-23,Grande SP Sudeste,226,52033,10,2038,0,0,0,0,50005,218,-10
151,2020-08-24,Grande SP Sudeste,363,52396,11,2049,0,0,0,0,50358,353,-11
152,2020-08-25,Grande SP Sudeste,412,52808,13,2062,0,0,0,0,50759,401,-13
153,2020-08-26,Grande SP Sudeste,561,53369,12,2074,0,0,0,0,51307,548,-12
154,2020-08-27,Grande SP Sudeste,604,53973,12,2086,0,0,0,0,51899,592,-12
155,2020-08-28,Grande SP Sudeste,533,54506,13,2099,0,0,0,0,52420,521,-13
156,2020-08-29,Grande SP Sudeste,299,54805,11,2110,0,0,0,0,52706,286,-11
157,2020-08-30,Grande SP Sudeste,59,54864,14,2124,0,0,0,0,52754,48,-14
158,2020-08-31,Grande SP Sudeste,289,55153,11,2135,0,0,0,0,53029,275,-11
159,2020-09-01,Grande SP Sudeste,594,55747,19,2154,0,0,0,0,53612,583,-19
160,2020-09-02,Grande SP Sudeste,824,56571,21,2175,0,0,0,0,54417,805,-21
161,2020-09-03,Grande SP Sudeste,583,57154,21,2196,0,0,0,0,54979,562,-21
162,2020-09-04,Grande SP Sudeste,461,57615,24,2220,0,0,0,0,55419,440,-24
163,2020-09-05,Grande SP Sudeste,214,57829,7,2227,0,0,0,0,55609,190,-7
164,2020-09-06,Grande SP Sudeste,96,57925,4,2231,0,0,0,0,55698,89,-4
165,2020-09-07,Grande SP Sudeste,85,58010,5,2236,0,0,0,0,55779,81,-5
166,2020-09-08,Grande SP Sudeste,219,58229,15,2251,0,0,0,0,55993,214,-15
167,2020-09-09,Grande SP Sudeste,323,58552,8,2259,0,0,0,0,56301,308,-8
168,2020-09-10,Grande SP Sudeste,357,58909,7,2266,0,0,0,0,56650,349,-7
169,2020-09-11,Grande SP Sudeste,244,59153,9,2275,0,0,0,0,56887,237,-9
170,2020-09-12,Grande SP Sudeste,180,59333,6,2281,0,0,0,0,57058,171,-6
171,2020-09-13,Grande SP Sudeste,12,59345,0,2281,0,0,0,0,57064,6,0
172,2020-09-14,Grande SP Sudeste,253,59598,23,2304,0,0,0,0,57317,253,-23
173,2020-09-15,Grande SP Sudeste,501,60099,28,2332,0,0,0,0,57795,478,-28
174,2020-09-16,Grande SP Sudeste,353,60452,14,2346,0,0,0,0,58120,325,-14
175,2020-09-17,Grande SP Sudeste,215,60667,8,2354,0,0,0,0,58321,201,-8
176,2020-09-18,Grande SP Sudeste,342,61009,9,2363,0,0,0,0,58655,334,-9
177,2020-09-19,Grande SP Sudeste,213,61222,5,2368,0,0,0,0,58859,204,-5
178,2020-09-20,Grande SP Sudeste,42,61264,6,2374,0,0,0,0,58896,37,-6
179,2020-09-21,Grande SP Sudeste,160,61424,14,2388,0,0,0,0,59050,154,-14
180,2020-09-22,Grande SP Sudeste,468,61892,19,2407,0,0,0,0,59504,454,-19
181,2020-09-23,Grande SP Sudeste,368,62260,19,2426,0,0,0,0,59853,349,-19
182,2020-09-24,Grande SP Sudeste,498,62758,17,2443,0,0,0,0,60332,479,-17
183,2020-09-25,Grande SP Sudeste,181,62939,13,2456,0,0,0,0,60496,164,-13
184,2020-09-26,Grande SP Sudeste,197,63136,3,2459,0,0,0,0,60680,184,-3
185,2020-09-27,Grande SP Sudeste,45,63181,19,2478,0,0,0,0,60722,42,-19
186,2020-09-28,Grande SP Sudeste,332,63513,11,2489,0,0,0,0,61035,313,-11
187,2020-09-29,Grande SP Sudeste,383,63896,13,2502,0,0,0,0,61407,372,-13
188,2020-09-30,Grande SP Sudeste,416,64312,15,2517,0,0,0,0,61810,403,-15
189,2020-10-01,Grande SP Sudeste,203,64515,17,2534,0,0,0,0,61998,188,-17
190,2020-10-02,Grande SP Sudeste,338,64853,8,2542,0,0,0,0,62319,321,-8
191,2020-10-03,Grande SP Sudeste,276,65129,4,2546,0,0,0,0,62587,268,-4
192,2020-10-04,Grande SP Sudeste,70,65199,5,2551,0,0,0,0,62653,66,-5
193,2020-10-05,Grande SP Sudeste,347,65546,10,2561,0,0,0,0,62995,342,-10
194,2020-10-06,Grande SP Sudeste,193,65739,10,2571,0,0,0,0,63178,183,-10
195,2020-10-07,Grande SP Sudeste,323,66062,7,2578,0,0,0,0,63491,313,-7
